word,phonetic,audio_file
alet,aːlet,https://sozluk.rtuk.gov.tr/Home/SesKelime/235
aleyhinde,alejhinde,https://sozluk.rtuk.gov.tr/Home/SesKelime/239
aleyhtar,alejhtaːɾ,https://sozluk.rtuk.gov.tr/Home/SesKelime/243
Ali,a:li:,https://sozluk.rtuk.gov.tr/Home/SesKelime/244
ali,aːliː,https://sozluk.rtuk.gov.tr/Home/SesKelime/244
alfabe,aːɫfabe,https://sozluk.rtuk.gov.tr/Home/SesKelime/246
alkol,aːɫcoːl,https://sozluk.rtuk.gov.tr/Home/SesKelime/254
Allah,Allah (Alla:h-ı),https://sozluk.rtuk.gov.tr/Home/SesKelime/255
altmış,aɫtmɯʃ,https://sozluk.rtuk.gov.tr/Home/SesKelime/264
alüminyum,alyminjum,https://sozluk.rtuk.gov.tr/Home/SesKelime/268
alternatif,aːɫtɛɾnatif,https://sozluk.rtuk.gov.tr/Home/SesKelime/265
amade,aːmaːde,https://sozluk.rtuk.gov.tr/Home/SesKelime/273
ama,ama,https://sozluk.rtuk.gov.tr/Home/SesKelime/271
amatör,amatœɾ,https://sozluk.rtuk.gov.tr/Home/SesKelime/275
ambalaj,ambalɑʒ,https://sozluk.rtuk.gov.tr/Home/SesKelime/276
amber,ambɛɾ,https://sozluk.rtuk.gov.tr/Home/SesKelime/279
ambulans,ambulɑns,https://sozluk.rtuk.gov.tr/Home/SesKelime/280
ambargo,ambaɾɡo,https://sozluk.rtuk.gov.tr/Home/SesKelime/278
amel,amɛl,https://sozluk.rtuk.gov.tr/Home/SesKelime/282
amele,amele,https://sozluk.rtuk.gov.tr/Home/SesKelime/283
ameliyathane,amelijathaːne,https://sozluk.rtuk.gov.tr/Home/SesKelime/286
Amerika,Amérika,https://sozluk.rtuk.gov.tr/Home/SesKelime/289
ameliyat,amelijat,https://sozluk.rtuk.gov.tr/Home/SesKelime/285
amir,aːmiɾ,https://sozluk.rtuk.gov.tr/Home/SesKelime/296
an,aːn,https://sozluk.rtuk.gov.tr/Home/SesKelime/310
ampul,ampuːl,https://sozluk.rtuk.gov.tr/Home/SesKelime/307
analitik,analitik,https://sozluk.rtuk.gov.tr/Home/SesKelime/316
anahtar,anahtaɾ,https://sozluk.rtuk.gov.tr/Home/SesKelime/313
anamalcılık,anamaɫd͡ʒɯɫɯk,https://sozluk.rtuk.gov.tr/Home/SesKelime/319
ananevi,an’aneviː,https://sozluk.rtuk.gov.tr/Home/SesKelime/321
angaje,anɡaʒe,https://sozluk.rtuk.gov.tr/Home/SesKelime/330
angarya,anɡaɾja,https://sozluk.rtuk.gov.tr/Home/SesKelime/332
ani,ani,https://sozluk.rtuk.gov.tr/Home/SesKelime/334
Ani,Ani,https://sozluk.rtuk.gov.tr/Home/SesKelime/334
Ankara,Ankara,https://sozluk.rtuk.gov.tr/Home/SesKelime/340
anten,antɛn,https://sozluk.rtuk.gov.tr/Home/SesKelime/347
antrenman,antɾenman,https://sozluk.rtuk.gov.tr/Home/SesKelime/359
apartman,apaɾtman,https://sozluk.rtuk.gov.tr/Home/SesKelime/367
aptal,aptal,https://sozluk.rtuk.gov.tr/Home/SesKelime/373
ar,aɾ,https://sozluk.rtuk.gov.tr/Home/SesKelime/374
arabesk,aɾabɛsk,https://sozluk.rtuk.gov.tr/Home/SesKelime/375
aranjman,aɾanʒman,https://sozluk.rtuk.gov.tr/Home/SesKelime/381
arazi,aɾaːziː,https://sozluk.rtuk.gov.tr/Home/SesKelime/388
arda,aɾda,https://sozluk.rtuk.gov.tr/Home/SesKelime/391
ardışık,aɾdɯʃɯk,https://sozluk.rtuk.gov.tr/Home/SesKelime/392
ardiye,aɾdije,https://sozluk.rtuk.gov.tr/Home/SesKelime/393
arıza,aːɾɯza,https://sozluk.rtuk.gov.tr/Home/SesKelime/395
armoni,aɾmoni,https://sozluk.rtuk.gov.tr/Home/SesKelime/411
arkeoloji,aɾce‿oloːʒi,https://sozluk.rtuk.gov.tr/Home/SesKelime/408
artist,aɾtist,https://sozluk.rtuk.gov.tr/Home/SesKelime/417
artırmak,aɾtɯɾmak,https://sozluk.rtuk.gov.tr/Home/SesKelime/414
arz,aɾz,https://sozluk.rtuk.gov.tr/Home/SesKelime/420
arzu,aɾzu,https://sozluk.rtuk.gov.tr/Home/SesKelime/426
asabi,asabiː,https://sozluk.rtuk.gov.tr/Home/SesKelime/430
asalet,asaːlet,https://sozluk.rtuk.gov.tr/Home/SesKelime/437
asansör,asansœɾ,https://sozluk.rtuk.gov.tr/Home/SesKelime/440
asgari,asɡaɾiː,https://sozluk.rtuk.gov.tr/Home/SesKelime/448
asfalt,asfaɫt,https://sozluk.rtuk.gov.tr/Home/SesKelime/447
Asi,A:si:,https://sozluk.rtuk.gov.tr/Home/SesKelime/457
asır,asɯɾ,https://sozluk.rtuk.gov.tr/Home/SesKelime/456
asi,aːsiː,https://sozluk.rtuk.gov.tr/Home/SesKelime/457
asil,asil,https://sozluk.rtuk.gov.tr/Home/SesKelime/458
asker,ascɛɾ,https://sozluk.rtuk.gov.tr/Home/SesKelime/465
aslan,asɫan,https://sozluk.rtuk.gov.tr/Home/SesKelime/469
asla,asɫaː,https://sozluk.rtuk.gov.tr/Home/SesKelime/468
aslen,aslɛn,https://sozluk.rtuk.gov.tr/Home/SesKelime/474
asli,asliː,https://sozluk.rtuk.gov.tr/Home/SesKelime/475
aşık,aʃɯk,https://sozluk.rtuk.gov.tr/Home/SesKelime/496
aşina,aːʃinaː,https://sozluk.rtuk.gov.tr/Home/SesKelime/503
aşk,aʃk,https://sozluk.rtuk.gov.tr/Home/SesKelime/507
aşkın,aʃkɯn,https://sozluk.rtuk.gov.tr/Home/SesKelime/508
ata,ata,https://sozluk.rtuk.gov.tr/Home/SesKelime/512
ateş,ateʃ,https://sozluk.rtuk.gov.tr/Home/SesKelime/517
atıf,atɯf,https://sozluk.rtuk.gov.tr/Home/SesKelime/527
atıl,aːtɯl,https://sozluk.rtuk.gov.tr/Home/SesKelime/530
Atıf,atıf,https://sozluk.rtuk.gov.tr/Home/SesKelime/527
atmosfer,atmosfɛɾ,https://sozluk.rtuk.gov.tr/Home/SesKelime/536
atölye,atœɫje,https://sozluk.rtuk.gov.tr/Home/SesKelime/537
atletizm,atletizm,https://sozluk.rtuk.gov.tr/Home/SesKelime/535
avadanlık,avadanɫɯk,https://sozluk.rtuk.gov.tr/Home/SesKelime/540
Avni,Avni:,https://sozluk.rtuk.gov.tr/Home/SesKelime/552
ayakkabı,ajakkabɯ,https://sozluk.rtuk.gov.tr/Home/SesKelime/557
ayan,ajan,https://sozluk.rtuk.gov.tr/Home/SesKelime/559
Aydın,aydın,https://sozluk.rtuk.gov.tr/Home/SesKelime/563
ayar,ajaɾ,https://sozluk.rtuk.gov.tr/Home/SesKelime/562
aydın,ajdɯn,https://sozluk.rtuk.gov.tr/Home/SesKelime/563
ayin,aːjin,https://sozluk.rtuk.gov.tr/Home/SesKelime/568
ayet,aːjet,https://sozluk.rtuk.gov.tr/Home/SesKelime/565
aynen,ajnɛn,https://sozluk.rtuk.gov.tr/Home/SesKelime/573
aynı,ajnɯ,https://sozluk.rtuk.gov.tr/Home/SesKelime/574
ayniyat,ajnijat,https://sozluk.rtuk.gov.tr/Home/SesKelime/576
