word,phonetic,audio_file
arzu,arzu,https://sozluk.rtuk.gov.tr/Home/SesKelime/426
asabi,Asabi:,https://sozluk.rtuk.gov.tr/Home/SesKelime/430
asansör,Asansör,https://sozluk.rtuk.gov.tr/Home/SesKelime/440
asgari,Asgari:,https://sozluk.rtuk.gov.tr/Home/SesKelime/448
asfalt,Asfalt,https://sozluk.rtuk.gov.tr/Home/SesKelime/447
Asi,A:si:,https://sozluk.rtuk.gov.tr/Home/SesKelime/457
asır,asır,https://sozluk.rtuk.gov.tr/Home/SesKelime/456
asi,A:si:,https://sozluk.rtuk.gov.tr/Home/SesKelime/457
asil,Asil,https://sozluk.rtuk.gov.tr/Home/SesKelime/458
asker,Asker,https://sozluk.rtuk.gov.tr/Home/SesKelime/465
aslan,Aslan,https://sozluk.rtuk.gov.tr/Home/SesKelime/469
asla,Asla:,https://sozluk.rtuk.gov.tr/Home/SesKelime/468
asli,Asli:,https://sozluk.rtuk.gov.tr/Home/SesKelime/475
ata,ata,https://sozluk.rtuk.gov.tr/Home/SesKelime/512
ata,ata,https://sozluk.rtuk.gov.tr/Home/SesKelime/512
atıf,atıf,https://sozluk.rtuk.gov.tr/Home/SesKelime/527
atıl,a:tıl,https://sozluk.rtuk.gov.tr/Home/SesKelime/530
Atıf,atıf,https://sozluk.rtuk.gov.tr/Home/SesKelime/527
atmosfer,Atmosfer,https://sozluk.rtuk.gov.tr/Home/SesKelime/536
atölye,Atölyé,https://sozluk.rtuk.gov.tr/Home/SesKelime/537
atletizm,Atlétizm,https://sozluk.rtuk.gov.tr/Home/SesKelime/535
Avni,Avni:,https://sozluk.rtuk.gov.tr/Home/SesKelime/552
ayakkabı,Ayakkabı,https://sozluk.rtuk.gov.tr/Home/SesKelime/557
Aydın,aydın,https://sozluk.rtuk.gov.tr/Home/SesKelime/563
ayar,ayar (aya:rı),https://sozluk.rtuk.gov.tr/Home/SesKelime/562
aydın,aydın,https://sozluk.rtuk.gov.tr/Home/SesKelime/563
ayin,A:yin,https://sozluk.rtuk.gov.tr/Home/SesKelime/568
ayet,A:yét,https://sozluk.rtuk.gov.tr/Home/SesKelime/565
aynen,Aynen,https://sozluk.rtuk.gov.tr/Home/SesKelime/573
aynı,aynı,https://sozluk.rtuk.gov.tr/Home/SesKelime/574
ayrım,ayrım,https://sozluk.rtuk.gov.tr/Home/SesKelime/578
aza,A:za:,https://sozluk.rtuk.gov.tr/Home/SesKelime/584
azami,A:zami:,https://sozluk.rtuk.gov.tr/Home/SesKelime/591
