word,phonetic,audio_file
a,A,https://sozluk.rtuk.gov.tr/Home/SesKelime/1
ab,A:b,https://sozluk.rtuk.gov.tr/Home/SesKelime/3
abanoz,abanoz,https://sozluk.rtuk.gov.tr/Home/SesKelime/8
aba,a:ba,https://sozluk.rtuk.gov.tr/Home/SesKelime/12117
abad,A:ba:d,https://sozluk.rtuk.gov.tr/Home/SesKelime/5
Abbas,Abbas,https://sozluk.rtuk.gov.tr/Home/SesKelime/12
Abbasi,Abba:si:,https://sozluk.rtuk.gov.tr/Home/SesKelime/13
abdesthane,Abdéstha:né,https://sozluk.rtuk.gov.tr/Home/SesKelime/16
abdestlik,Abdéstlik,https://sozluk.rtuk.gov.tr/Home/SesKelime/17
abdest,abdést,https://sozluk.rtuk.gov.tr/Home/SesKelime/15
abdal,abda:l,https://sozluk.rtuk.gov.tr/Home/SesKelime/14
abes,abés,https://sozluk.rtuk.gov.tr/Home/SesKelime/22
Abdülkadir,Abdülka:dir,https://sozluk.rtuk.gov.tr/Home/SesKelime/20
abid,A:bid,https://sozluk.rtuk.gov.tr/Home/SesKelime/26
abıhayat,A:bıhayat (A:bıhaya:t-ı),https://sozluk.rtuk.gov.tr/Home/SesKelime/23
abıkevser,A:bıkévser,https://sozluk.rtuk.gov.tr/Home/SesKelime/24
abi,a:bi:,https://sozluk.rtuk.gov.tr/Home/SesKelime/12129
abide,A:bidé,https://sozluk.rtuk.gov.tr/Home/SesKelime/28
abidevi,A:bidévi:,https://sozluk.rtuk.gov.tr/Home/SesKelime/29
abiye,Abiyé,https://sozluk.rtuk.gov.tr/Home/SesKelime/31
Abidin,A:bidi:n,https://sozluk.rtuk.gov.tr/Home/SesKelime/27
abla,abla,https://sozluk.rtuk.gov.tr/Home/SesKelime/32
ablak,ablak,https://sozluk.rtuk.gov.tr/Home/SesKelime/33
abonman,Abonman,https://sozluk.rtuk.gov.tr/Home/SesKelime/34
Aborjin,Aborjin,https://sozluk.rtuk.gov.tr/Home/SesKelime/35
absürt,Absürt,https://sozluk.rtuk.gov.tr/Home/SesKelime/38
abrakadabra,Abrakadabra,https://sozluk.rtuk.gov.tr/Home/SesKelime/36
abuk sabuk,Abuk sabuk,https://sozluk.rtuk.gov.tr/Home/SesKelime/39
absorbe,absorbé,https://sozluk.rtuk.gov.tr/Home/SesKelime/37
abus,abus,https://sozluk.rtuk.gov.tr/Home/SesKelime/40
acaba,Acaba:,https://sozluk.rtuk.gov.tr/Home/SesKelime/41
acar,acar,https://sozluk.rtuk.gov.tr/Home/SesKelime/42
Acar,acar,https://sozluk.rtuk.gov.tr/Home/SesKelime/42
acele,acélé,https://sozluk.rtuk.gov.tr/Home/SesKelime/45
acayip,Aca:yip,https://sozluk.rtuk.gov.tr/Home/SesKelime/44
acemaşiran,Acémaşi:ran,https://sozluk.rtuk.gov.tr/Home/SesKelime/47
Acem,acém,https://sozluk.rtuk.gov.tr/Home/SesKelime/46
acembuselik,Acémbu:sélik,https://sozluk.rtuk.gov.tr/Home/SesKelime/48
acente,Acénté,https://sozluk.rtuk.gov.tr/Home/SesKelime/51
acemkürdi,Acémkürdi:,https://sozluk.rtuk.gov.tr/Home/SesKelime/50
acep,acep,https://sozluk.rtuk.gov.tr/Home/SesKelime/52
acemi,acemi:,https://sozluk.rtuk.gov.tr/Home/SesKelime/49
aceze,Acézé,https://sozluk.rtuk.gov.tr/Home/SesKelime/53
acil,A:cil,https://sozluk.rtuk.gov.tr/Home/SesKelime/55
acilen,A:cilen,https://sozluk.rtuk.gov.tr/Home/SesKelime/56
aciz,A:ciz,https://sozluk.rtuk.gov.tr/Home/SesKelime/57
acibe,Aci:bé,https://sozluk.rtuk.gov.tr/Home/SesKelime/54
acizane,A:ciza:né,https://sozluk.rtuk.gov.tr/Home/SesKelime/58
acul,Acû:l,https://sozluk.rtuk.gov.tr/Home/SesKelime/59
açık öğretim,Açık‿ö:rétim,https://sozluk.rtuk.gov.tr/Home/SesKelime/64
acuze,Acu:zé,https://sozluk.rtuk.gov.tr/Home/SesKelime/60
açelya,Açélya,https://sozluk.rtuk.gov.tr/Home/SesKelime/62
açık oturum,Açık‿oturum,https://sozluk.rtuk.gov.tr/Home/SesKelime/63
acz,Acz,https://sozluk.rtuk.gov.tr/Home/SesKelime/61
ad,ad,https://sozluk.rtuk.gov.tr/Home/SesKelime/65
